post_id,Date Added,Caption,Option 1,Option 2,Sponsor?,id,UGC?,# Views,# Resps,% R/V,% Opt1,% Opt2,# Likes,# Comments,# Bookmarks,# Skips,Tags,Polarization Score,Engagement Score,Virality Index
1716881061814-HVqUMtqr,2024-05-28 00:00:00,,Control time,Change your appearance at will,False,,False,386,346,0.8963730569948186,0.5924855491329479,0.407514450867052,4,0,0,0,"Life choices, Personal Experiences",0.8150289017341041,63.97746898583684,118.48310173937764
1717398016215-30fuuV61,2024-06-03 00:00:00,,Never use technology again,Never leave your home again,False,,False,373,319,0.8552278820375335,0.3510971786833856,0.6489028213166145,2,1,0,0,"Life choices, Personal Experiences",0.702194357366771,64.2531596066903,104.18986970501771
1716880520622-OC2gxL3n,2024-05-28 00:00:00,Better superpower?,Teleport anywhere instantly,Read minds,False,,False,372,341,0.9166666666666666,0.6187683284457478,0.3812316715542522,7,0,0,0,"Hypothetical, Mental health",0.7624633431085044,63.007222443312656,112.25541683248449
1716782931297-yCOHTdYf,2024-05-27 00:00:00,OG meme,Doge ,Nyan cat,False,,False,365,265,0.726027397260274,0.3056603773584905,0.6943396226415094,5,1,0,0,Anime,0.6113207547169811,53.14521841014315,80.35891380760737
1717739065096-k5hf7RoO,2024-06-07 00:00:00,,See 10 minutes into the future,See 10 years into the future,False,,False,360,295,0.8194444444444444,0.3220338983050847,0.6779661016949152,5,7,0,0,"Hypothetical, Life choices",0.6440677966101696,66.59473603871915,97.44605202903938
1716782930677-b4FkHh7A,2024-05-27 00:00:00,Winner of the fight,Jake Paul,Mike Tyson,False,,False,355,205,0.5774647887323944,0.2048780487804878,0.7951219512195122,6,1,0,0,"Celebs, Sports",0.40975609756097553,45.71944816653411,55.28958612490058
1718076610245-nAU5DZ2K,2024-06-11 00:00:00,,New Jeans,Taylor Swift,False,,False,342,234,0.6842105263157895,0.6794871794871795,0.3205128205128205,4,11,0,0,"Celebs, Kpop, Music",0.641025641025641,63.11790803889215,84.83843102916912
1716782930062-ouRsmvC5,2024-05-27 00:00:00,,Marrying a rich but toxic person,Marrying a poor but loving person,False,,False,334,269,0.8053892215568862,0.3345724907063197,0.6654275092936803,5,0,0,0,"Dating, Life choices, Personal Experiences",0.6691449814126393,51.51446102331136,83.63584576748352
1716782929463-yBB8l3mA,2024-05-27 00:00:00,,Only watch anime ,Only watch k-dramas ,False,,False,320,272,0.85,0.5992647058823529,0.4007352941176471,7,0,0,0,"Anime, TV shows",0.8014705882352942,51.33973701757938,93.00480276318453
1716782928928-86w70PsL,2024-05-27 00:00:00,,Be able to breath in water,Be able to breath in space,False,,False,315,268,0.8507936507936508,0.6529850746268657,0.3470149253731343,4,0,0,0,Nature,0.6940298507462686,50.145789645077535,84.10934223380815
1718076554943-cgbfansX,2024-06-11 00:00:00,,Read mind,Go invisible,False,,False,297,231,0.7777777777777778,0.5627705627705628,0.4372294372294372,6,7,0,0,"Hypothetical, Mental health",0.8744588744588744,58.35701440395857,94.26776080296892
1716782928348-1RA1yY3k,2024-05-27 00:00:00,What's more important,Skincare,Makeup,False,,False,292,264,0.9041095890410958,0.9393939393939394,0.0606060606060606,3,0,0,1,Fashion,0.1212121212121211,48.10734291153779,44.08050718365334
1716782927592-4Fg2GOoW,2024-05-27 00:00:00,,Superpower,Magic,False,,False,286,253,0.8846153846153846,0.4426877470355731,0.5573122529644269,3,0,0,0,"Hypothetical, Life choices",0.8853754940711462,46.563947527572,90.922960645679
1716782926964-oW6vR7wF,2024-05-27 00:00:00,Better season,autumn/winter,summer/spring,False,,False,279,259,0.92831541218638,0.7413127413127413,0.2586872586872586,2,0,0,0,Nature,0.5173745173745173,46.70955086568198,68.53216314926149
1716782926324-o2NJO9fb,2024-05-27 00:00:00,,Always being early ,Always being late,False,,False,271,247,0.911439114391144,0.8785425101214575,0.1214574898785425,3,0,0,0,"Life choices, Personal Experiences",0.2429149797570851,44.9914314759842,48.74357360698815
1716782925750-dAzpyB6F,2024-05-27 00:00:00,,Know when you will die,Know how you will die,False,,False,266,231,0.868421052631579,0.5714285714285714,0.4285714285714285,4,1,0,0,"Hypothetical, Life choices, Mental health, Personal Experiences",0.8571428571428571,43.27331208628643,81.95498406471482
1716782925174-eDKEt3I7,2024-05-27 00:00:00,Do you want,To love,To be loved,False,,False,257,228,0.8871595330739299,0.1666666666666666,0.8333333333333334,4,0,0,0,"Dating, Family, Friendship, Personal Experiences",0.33333333333333326,42.10848538140658,50.581364036054936
1716782924515-bmbz9jTB,2024-05-27 00:00:00,,Cat person,Dog person ,False,,False,252,227,0.9007936507936508,0.7400881057268722,0.2599118942731278,2,0,0,0,"Family, Friendship, Personal Experiences",0.5198237885462555,41.40958935847867,60.557192018859006
1716782923754-saDGyBhY,2024-05-27 00:00:00,,Reincarnation ,Time Travel,False,,False,240,207,0.8625,0.3381642512077294,0.6618357487922706,4,0,0,0,"Hypothetical, Travel",0.6763285024154588,38.672246602011015,64.00418495150825
1716782923099-m3b9XevW,2024-05-27 00:00:00,,Have unlimited friends but they all fake,Have one friend who really care about you,False,,False,225,201,0.8933333333333333,0.0149253731343283,0.9850746268656716,4,0,0,0,"Friendship, Personal Experiences",0.02985074626865669,37.09973055042322,29.324797912817413
1716782922191-tL0eUMUU,2024-05-27 00:00:00,,IQ,Photographic memory ,False,,False,215,193,0.8976744186046511,0.5233160621761658,0.4766839378238341,2,0,0,0,"Mental health, Personal Experiences",0.9533678756476683,35.294249157859454,72.4706868683946
1716782921491-W3kgsFvt,2024-05-27 00:00:00,,You can talk with your future self,You can speak to your past self,False,,False,212,185,0.8726415094339622,0.6432432432432432,0.3567567567567568,5,1,0,0,"Hypothetical, Life choices, Personal Experiences",0.7135135135135136,34.9156804787735,59.186760359080125
1716782920291-awogW8Cv,2024-05-27 00:00:00,Which is more sad,Can't listen to your fav music,Can't read your fav books,False,,False,198,174,0.8787878787878788,0.4080459770114942,0.5919540229885057,3,0,0,0,Music,0.8160919540229885,32.23657905754985,59.677434293162385
1716782919669-T4vhzioz,2024-05-27 00:00:00,,Travel evrywhere you want,Never visit your town again,False,,False,193,168,0.8704663212435233,0.9285714285714286,0.0714285714285714,3,2,0,0,Travel,0.1428571428571428,31.8288897108419,29.87166728313142
1716782918873-VjZUH2ZN,2024-05-27 00:00:00,,Have a comfortable job,Own a high ranking company but have no control over it,False,,False,183,162,0.8852459016393442,0.8271604938271605,0.1728395061728395,2,0,0,0,"Business and Finance, Life choices, Personal finance tips",0.345679012345679,29.81956364492416,36.36467273369312
1716782918221-vkWHp5EV,2024-05-27 00:00:00,Weird power but…,You get unlimited pineapple juice for the rest of your life for free but you need to make a front flip every time you want a glass of it  ,You get unlimited barbecue chips for the rest of your life for free but you get shot with a paintball gun whenever you want to take a bag of it,False,,False,176,138,0.7840909090909091,0.4202898550724637,0.5797101449275363,2,0,0,0,"Food and dining experiences, Hypothetical, Life choices",0.8405797101449275,26.61629020650457,48.96221765487843
1716782917471-ovFKSNm2,2024-05-27 00:00:00,Pick only one,Love,Money,False,,False,168,151,0.8988095238095238,0.4635761589403973,0.5364238410596026,2,0,0,0,"Business and Finance, Personal finance tips",0.9271523178807947,27.664634240896433,55.74847568067233
1716782916488-jXqr3EQY,2024-05-27 00:00:00,Who could you count on?,Choose your friends,Choose your family,False,,False,164,144,0.8780487804878049,0.2847222222222222,0.7152777777777778,2,0,0,1,"Family, Friendship",0.5694444444444444,26.528928203638582,40.396696152728936
1718696060187-H8tIp4UX,2024-06-18 00:00:00,Choose one as pet,Dinosaur,Dragon,False,,False,156,122,0.782051282051282,0.1557377049180328,0.8442622950819673,2,8,0,0,"Gaming, Hypothetical",0.3114754098360655,40.50564558489426,39.879234188670694
1716782914931-2plpIonX,2024-05-27 00:00:00,Edit photos in…,Warm colors,Cool colors,False,,False,155,132,0.8516129032258064,0.3939393939393939,0.6060606060606061,1,0,0,0,Art,0.7878787878787878,24.548722805342837,44.411542104007125
1716782915786-0KzYtn6P,2024-05-27 00:00:00,,be yourself,be someone else,False,,False,155,143,0.9225806451612903,0.8041958041958042,0.1958041958041958,1,2,0,0,"Life choices, Personal Experiences",0.39160839160839167,26.412445533150596,33.80933414986295
1716782914064-6K0SKuMv,2024-05-27 00:00:00,,SAMSUNG,APPLE,False,,False,152,132,0.868421052631579,0.6590909090909091,0.3409090909090909,1,0,0,0,New gadgets,0.6818181818181819,24.37399879961086,40.78049909970815
1718695871575-rOV6oAfD,2024-06-18 00:00:00,,Hot soba,Cold soba,False,,False,135,90,0.6666666666666666,0.4444444444444444,0.5555555555555556,2,5,0,0,Food and dining experiences,0.8888888888888888,31.403253318625886,43.55243998896941
1718693821977-fu2Ot828,2024-06-18 00:00:00,When you speak,always have to whisper,always have to shout,False,,False,124,102,0.8225806451612904,0.7156862745098039,0.284313725490196,0,4,0,0,"Life choices, Personal Experiences",0.5686274509803921,31.676325086613943,38.25724381496046
1718693745785-p7tkWQE7,2024-06-18 00:00:00,,never have to do laundry again,never have to do dishes again,False,,False,120,105,0.875,0.5142857142857142,0.4857142857142857,1,2,0,0,"Life choices, Personal Experiences",0.9714285714285715,31.17569351196918,48.881770133976886
1718693796399-WNPlKGms,2024-06-18 00:00:00, Be famous for...,your dancing skills,your singing skills,False,,False,115,103,0.8956521739130435,0.3980582524271844,0.6019417475728155,1,3,0,0,Music,0.7961165048543689,30.811597821318443,43.60869836598883
1718693707656-log7G8Su,2024-06-18 00:00:00,,have to sing everything you say,dance every time you move,False,,False,100,87,0.87,0.7011494252873564,0.2988505747126437,1,1,0,0,Music,0.5977011494252873,25.62323422954547,32.2174256721591
1719216977015-NgIBL44U,2024-06-24 00:00:00,Climate change is…,Real,Unreal,True,Elements Advisors,False,30,20,0.6666666666666666,0.9,0.1,0,7,0,0,"Hypothetical, Life choices",0.19999999999999996,19.115023759163584,15.336267819372688
1719196928740-7BSveFMR,2024-06-24 00:00:00,,Cigarettes  ,Vapes ,False,,False,29,14,0.4827586206896552,0.4285714285714285,0.5714285714285714,0,4,0,0,"Fitness, Mental health",0.8571428571428571,14.017684090053297,13.513263067539974
1719216825340-wAd2OxQu,2024-06-24 00:00:00,,Low inflation and no pay raise,High inflation and pay raise,True,Elements Advisors,False,26,14,0.5384615384615384,0.7142857142857143,0.2857142857142857,0,4,0,0,"Business and Finance, Personal finance tips",0.5714285714285714,13.471540554077192,12.103655415557894
1719196745738-lfPjdjQA,2024-06-24 00:00:00,,Flavored vapes,Plain tobacco products,False,,False,24,10,0.4166666666666667,0.6,0.4,1,2,0,2,"Fitness, Personal Experiences",0.8,9.73955972490716,9.30466979368037
1719196654068-tXAVb5jE,2024-06-24 00:00:00,,I’d rather be vaping,Nicotine pouches all the way (Zyn),False,,False,23,8,0.3478260869565217,0.75,0.25,0,1,0,1,"Fitness, Personal Experiences",0.5,7.737033426328117,6.802775069746088
1719216487579-5RMsoy15,2024-06-24 00:00:00,,Bitcoin,Gold,True,Elements Advisors,False,22,15,0.6818181818181818,0.5333333333333333,0.4666666666666667,1,6,0,0,"Business and Finance, Cryptocurrency",0.9333333333333333,15.38304292999355,15.037282197495163
1719283679078-ueyvDMeD,2024-06-25 00:00:00,Which team is better?,Rams,49ers,False,,False,20,5,0.25,0.4,0.6,0,0,0,0,Sports,0.8,8.656170245333781,7.4921276840003355
1719196007778-8JPSHzGz,2024-06-24 00:00:00,,"15 is too young for vaping, come on! ","15 is totally fine, pass me my spicy pineapple!",False,,False,19,15,0.7894736842105263,0.7333333333333333,0.2666666666666666,1,0,0,0,Life choices,0.5333333333333333,9.375464034256424,9.031598025692318
1716782943024-aqsoYv3Z,2024-05-27 00:00:00,,Always have to sing instead of speak,Always have to dance everywhere you go,False,,False,9,9,1.0,0.6666666666666666,0.3333333333333333,1,2,0,0,Music,0.6666666666666667,2.3005327421377033,3.2253995566032776
1716782966986-8OF5iLPF,2024-05-27 00:00:00,,Become a famous inventor,Become a renowned artist,False,,False,9,7,0.7777777777777778,0.8571428571428571,0.1428571428571428,1,1,0,0,"Art, Celebs",0.2857142857142857,1.7763607249417712,1.8322705437063285
1716782968787-kvnBQQuy,2024-05-27 00:00:00,,Only eat burgers for the rest of your life,Only eat fried rice for the rest of your life,False,,False,9,9,1.0,0.7777777777777778,0.2222222222222222,1,3,0,0,Food and dining experiences,0.4444444444444444,2.591739418357666,2.9438045637682495
1716782999211-2J4dv4Mu,2024-05-27 00:00:00,,Attend an exclusive private party hosted by your favorite musician,Be a VIP guest at a major awards ceremony,False,,False,9,8,0.8888888888888888,0.75,0.25,1,1,0,0,"Celebs, Music",0.5,1.8928433954297559,2.419632546572317
1716783013031-yXuZDupW,2024-05-27 00:00:00,,Attend a live taping of your favorite sitcom ,Be a contestant on a reality TV show ,False,,False,9,7,0.7777777777777778,0.1428571428571428,0.8571428571428571,0,0,0,0,"Celebs, TV shows",0.2857142857142857,1.3395507106118274,1.5046630329588706
1716783034526-Evet5ga4,2024-05-27 00:00:00,,going outdoors alone,staying in with friends,False,,False,9,8,0.8888888888888888,0.375,0.625,0,2,0,0,"Friendship, Personal Experiences",0.75,2.0384467335397374,3.028835050154803
1716782972691-PTxYxHpp,2024-05-27 00:00:00,,Have a lifetime supply of bubble tea,Have a lifetime supply of matcha,False,,False,8,8,1.0,0.125,0.875,0,0,0,0,Food and dining experiences,0.25,1.39779204585582,1.548344034391865
1716782977914-iQdHCeO2,2024-05-27 00:00:00,,"Have a social media account with a million followers but you can never post about yourself, only about random strangers",Have a social media account with only one follower but it's your celebrity crush who likes and comments on all your posts,False,,False,8,6,0.75,0.1666666666666666,0.8333333333333334,0,0,0,0,"Celebs, Dating",0.33333333333333326,1.1648267048798497,1.3736200286598872
1716782979666-QKBxs1Tr,2024-05-27 00:00:00,,Speak in rhymes all the time,Speak in pig latin all the time,False,,False,8,7,0.875,0.8571428571428571,0.1428571428571428,1,2,0,0,Writing,0.2857142857142857,2.009326065917741,2.006994549438306
1716783012521-Imz9xjDm,2024-05-27 00:00:00,,Unlimited free pizza for life but only from a pizza chain you don't really like,Have a 50% discount on pizza from your favorite local pizzeria,False,,False,8,8,1.0,0.125,0.875,0,1,0,0,Food and dining experiences,0.25,1.6889987220757825,1.766749041556837
1716783023025-mzo7e9gJ,2024-05-27 00:00:00,,Be forced to use comic sans as your phone's default font,Have all music digitally convert to early 2000s audio quality,False,,False,8,5,0.625,0.8,0.2,0,0,0,0,"Music, Personal Experiences",0.3999999999999999,1.0483440343918649,1.2862580257938987
1716783029217-igN4chH6,2024-05-27 00:00:00,,"Have a permanent hall pass that allows you to skip class whenever you want, but it has a built-in whoopee cushion sound effect","Have a magic backpack that always has the exact snack you're craving, but occasionally it also produces a live chicken",False,,False,8,7,0.875,0.2857142857142857,0.7142857142857143,0,0,0,0,"Hypothetical, Life choices",0.5714285714285714,1.2813093753678348,1.9609820315258761
1716783031568-32o8dMba,2024-05-27 00:00:00,,Let everyone disappear that hates you,"Make the people that hate you, like you",False,,False,8,6,0.75,0.5,0.5,1,0,0,0,"Mental health, Personal Experiences, Social justice",1.0,1.310430042989831,2.4828225322423734
1716783039399-dz667leV,2024-05-27 00:00:00,,Kyoto ,Osaka,False,,False,8,8,1.0,0.125,0.875,0,1,0,0,"Food and dining experiences, Travel",0.25,1.6889987220757825,1.766749041556837
1716783040425-C7M9FKmw,2024-05-27 00:00:00,,Have a personal theme song that plays ever time you enter a room,Have a personal dance you vhave to perform everytime you greet someone,False,,False,8,7,0.875,0.8571428571428571,0.1428571428571428,1,0,0,0,"Music, Personal Experiences",0.2857142857142857,1.4269127134778161,1.570184535108362
1716783043157-Ebm4YxWC,2024-05-27 00:00:00,,Get an unlimited budget at your local convenience store,Get an unlimited budget at your local fast food chain,False,,False,8,7,0.875,0.7142857142857143,0.2857142857142857,1,1,0,0,Food and dining experiences,0.5714285714285714,1.7181193896977787,2.2885895422733338
1717167333340-q0c8fzrG,2024-05-31 00:00:00,which is the better character?,Shin Ha-ri (A Business Poposal),Yoon Ji-Woo (My Name),False,,True,8,3,0.375,0.6666666666666666,0.3333333333333333,0,1,0,5,"Celebs, Kpop, TV shows",0.6666666666666667,0.6978500737472421,1.0233875553104315
1716782945873-oVmYBnK4,2024-05-27 00:00:00,,Have a personal fragrance that makes everyone around you uncontrollably dance,Have a personal fragrance that makes everyone around you uncontrollably sing,False,,False,7,6,0.8571428571428571,0.6666666666666666,0.3333333333333333,0,1,0,1,Music,0.6666666666666667,1.3104300429898312,1.9828225322423734
1716782947640-g7Tozvjq,2024-05-27 00:00:00,,Have the ability to fly,Be invisible at will,False,,False,7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,0,0,0,"Hypothetical, Life choices",0.6666666666666667,1.1065853696358576,1.8299390272268932
1716782964927-JcBJ3dmB,2024-05-27 00:00:00,,Work in a job that pays you a million dollars a year but you will never get married or fall in love,"Fall in love, get married and be really happy but never earn enough retire",False,,False,7,6,0.8571428571428571,0.6666666666666666,0.3333333333333333,0,0,0,0,"Business and Finance, Dating, Life choices, Personal finance tips",0.6666666666666667,1.1065853696358576,1.8299390272268932
1716782968256-92cDxzgQ,2024-05-27 00:00:00,,Reincarnate as slime,Reincarnate as a leaf,False,,False,7,6,0.8571428571428571,0.5,0.5,0,0,0,1,"Hypothetical, Nature",1.0,1.019223366769869,2.264417525077402
1716782969295-k29hAYSy,2024-05-27 00:00:00,,Be Pikachu,Be Jigglypuff,False,,False,7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,3,0,1,"Anime, Gaming",0.6666666666666667,1.8928433954297563,2.419632546572317
1716782977370-9F1Q8eOa,2024-05-27 00:00:00,,Write a record breaking music album ,Produce a record breaking movie,False,,False,7,6,0.8571428571428571,0.8333333333333334,0.1666666666666666,1,0,0,0,"Movies, Music",0.33333333333333326,1.2521887077458387,1.439141530809379
1716782993014-kmw12MiR,2024-05-27 00:00:00,,Have the power to heal any illness,Be able to bring peace to any conflict,False,,False,7,6,0.8571428571428571,0.8333333333333334,0.1666666666666666,1,0,0,0,"Mental health, Personal Experiences, Social justice",0.33333333333333326,1.2521887077458387,1.439141530809379
1716783002052-iD89hNR5,2024-05-27 00:00:00,,Have hiccups for the rest of your life,Feel like you have to sneeze but not be able to for the rest of your life,False,,False,7,6,0.8571428571428571,0.1666666666666666,0.8333333333333334,0,2,0,0,"Mental health, Personal Experiences",0.33333333333333326,1.6889987220757825,1.766749041556837
1716783002642-OxSu3aqh,2024-05-27 00:00:00,,Have free unlimited travel for life. but never be able to take photos or post about it on social media,Have to pay for all of your travel but become an Instagram sensation with millions of followers,False,,False,7,7,1.0,1.0,0.0,0,1,0,0,"Personal Experiences, Travel",0.0,1.5142747163438048,1.1357060372578536
1716783011375-kitBwPdx,2024-05-27 00:00:00,,Have the power to heal others,Have the power to bring inanimate objects to life,False,,False,7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,0,0,0,0,"Hypothetical, Life choices",0.6666666666666667,1.1065853696358576,1.8299390272268932
1716783017840-BfyT5wZ1,2024-05-27 00:00:00,,Have a behind-the-scenes tour of your favorite movie franchise,Have a personal tour of a famous art gallery with a renowned curator,False,,False,7,6,0.8571428571428571,0.8333333333333334,0.1666666666666666,1,0,0,0,"Art, Movies",0.33333333333333326,1.2521887077458387,1.439141530809379
1716783020816-D4u7kybM,2024-05-27 00:00:00,,Have a personal drone that delivers your favorite snacks on demand,Have a robot that automatically takes selfies for you and posts them on social media,False,,False,7,5,0.7142857142857143,0.8,0.2,0,0,0,1,"Food and dining experiences, New gadgets",0.3999999999999999,0.9027406962818838,1.1770555222114127
1716783024587-RZEVWrum,2024-05-27 00:00:00,,Have a personal assistant that will take care of all the administrative tasks in your life for you,Have an unlimited gift card to any game you like to play,False,,False,7,5,0.7142857142857143,0.0,1.0,1,2,0,1,"Gaming, Life choices, Personal Experiences",0.0,1.63075738683179,1.2230680401238425
1716783041016-xm2MI4Uu,2024-05-27 00:00:00,,Live in a world without music,Live in a world without movies and TV shows,False,,False,7,7,1.0,0.1428571428571428,0.8571428571428571,1,1,0,0,"Movies, Music, TV shows",0.2857142857142857,1.6598780544537861,1.7449085408403395
1716847043275-mDqAEMy9,2024-05-28 00:00:00,,Biden,Trump,False,,True,7,5,0.7142857142857143,0.2,0.8,0,1,0,2,"Global Politics, US Politics",0.3999999999999999,1.117253594421783,1.337940195816337
1716862412031-lf2dENfP,2024-05-28 00:00:00,When buying your favourite smartphone...,"Pay now with your credit card, but settling outstanding balance in 2 years",Buy it 6 months later while keep your spending low everyday in this period,False,,True,7,6,0.8571428571428571,0.3333333333333333,0.6666666666666666,1,0,0,0,"Business and Finance, Personal finance tips",0.6666666666666667,1.2642606463193862,1.9481954847395397
1717033315005-u29PSpOj,2024-05-30 00:00:00,"If you are going to choose a place to live for your rest of your life, would you rather",have a extremely enormous fortress but you will live alone in there for whole life,have a very crowded partition room but you can live with everyone you love forever,False,,True,7,4,0.5714285714285714,0.25,0.75,1,0,0,0,"Family, Friendship, Life choices, Personal Experiences",0.5,1.0503556997514458,1.2877667748135844
1716782936016-84YZTg1P,2024-05-27 00:00:00,,Never have to sleep again,Never have to eat again,False,,False,6,6,1.0,0.6666666666666666,0.3333333333333333,0,1,0,0,"Life choices, Personal Experiences",0.6666666666666667,1.3395507106118274,2.0046630329588706
1716782936824-L6lqvO3D,2024-05-27 00:00:00,,Have the power to control the weather,Have the power to control animals,False,,False,6,6,1.0,0.5,0.5,1,1,0,0,Nature,1.0,1.4851540487218087,2.613865536541357
1716782940631-Tl2smocd,2024-05-27 00:00:00,,Win an Olympic gold medal,Win an Academy Award,False,,False,6,5,0.8333333333333334,0.4,0.6,0,0,0,0,"Celebs, Movies, Sports",0.8,0.93186136390388,1.69889602292791
1716782947107-5QYYVMhI,2024-05-27 00:00:00,,Have the ability to control dreams,Have the ability to control weather,False,,False,6,6,1.0,0.5,0.5,0,1,0,0,"Hypothetical, Nature",1.0,1.3395507106118274,2.5046630329588706
1716782950681-UkL1jl8f,2024-05-27 00:00:00,,Have the ability to teleport anywhere,Be able to read minds,False,,False,6,5,0.8333333333333334,0.6,0.4,0,0,0,0,"Hypothetical, Life choices",0.8,0.93186136390388,1.69889602292791
1716782951748-KJmDljF5,2024-05-27 00:00:00,,Live in a world where magic is real,Live in a world with advanced alien technology,False,,False,6,5,0.8333333333333334,1.0,0.0,0,0,0,0,"Hypothetical, Life choices",0.0,0.93186136390388,0.69889602292791
1716782952304-nWRXkx7h,2024-05-27 00:00:00,,Have a personal robot servant that always speaks in rhymes,Have a personal robot servant that only communicates through interpretive dance,False,,False,6,6,1.0,1.0,0.0,0,0,0,0,"Hypothetical, Personal Experiences",0.0,1.048344034391865,0.7862580257938988
1716782953843-w111g55I,2024-05-27 00:00:00,,Only be able to speak in emojis for a year,Only be able to communicate through TikTok dances for a month,False,,False,6,5,0.8333333333333334,1.0,0.0,0,0,0,0,"Hypothetical, Life choices",0.0,0.93186136390388,0.69889602292791
1716782955033-O8NASuiB,2024-05-27 00:00:00,,Be able to fly,Be able to become invisible,False,,False,6,5,0.8333333333333334,0.8,0.2,0,0,0,1,"Hypothetical, Life choices",0.3999999999999999,0.8444993610378912,1.1333745207784185
1716782960399-joWOtnwO,2024-05-27 00:00:00,,Have a permanent mustache that never stops growing,Have permanent clown shoes that squeak loudly everytime you walk,False,,False,6,5,0.8333333333333334,0.6,0.4,0,0,0,0,"Hypothetical, Life choices",0.8,0.93186136390388,1.69889602292791
1716782963214-4mVZgJ7q,2024-05-27 00:00:00,,Have the power to heal any illness ,Have the power to bring a loved one back to life,False,,False,6,4,0.6666666666666666,1.0,0.0,0,0,0,0,"Family, Mental health, Personal Experiences",0.0,0.815378693415895,0.6115340200619213
1716782970615-ab4HiUPE,2024-05-27 00:00:00,,Experience life as a character in your favorite book,Experience life as a character in your favorite movie,False,,False,6,5,0.8333333333333334,0.4,0.6,0,1,0,0,"Movies, TV shows",0.8,1.2230680401238423,1.9173010300928817
1716782973691-xvHGINT3,2024-05-27 00:00:00,,Have the ability to teleport your mind into other people's bodies and experience their lives for a day,Have the ability to teleport to any place in the world instantly,False,,False,6,5,0.8333333333333334,0.0,1.0,0,1,0,0,"Personal Experiences, Travel",0.0,1.2230680401238423,0.9173010300928817
1716782975212-XGpZvjlF,2024-05-27 00:00:00,,Have a personalized AI assistant that knows everything about you but they also share all your personal information online,Have complete privacy and anonymity but you can never receive personalized recommendations or offers,False,,False,6,4,0.6666666666666666,0.25,0.75,1,2,0,0,"Ethics, Personal Experiences",0.5,1.5433953839658012,1.6575465379743508
1716782978454-uR4ywUJe,2024-05-27 00:00:00,,Have the power to make any product go viral but you can never use it yourself,Have the ability to always be ahead of trends but you can never share them with anyone,False,,False,6,5,0.8333333333333334,0.4,0.6,0,2,0,0,"Business and Finance, Fashion",0.8,1.5142747163438048,2.1357060372578536
